Date,Daily_Score,Action,Position,Gold_Return,Strategy_Return,Cumulative_Strategy,Cumulative_Gold
2025-09-02,2.1666666666666665,Long,2,0.012340127918300414,0.02468025583660083,1.0246802558366008,1.0123401279183004
2025-09-03,2.1666666666666665,Long,2,-0.007625487786955487,-0.015250975573910974,1.0090528822837679,1.0046205406366144
2025-09-04,2.0,Neutral,0,0.01329292211977151,0.0,1.0090528822837679,1.0179748832432196
2025-09-05,1.6363636363636365,Neutral,0,0.0068914388411576155,0.0,1.0090528822837679,1.0249901948929248
2025-09-08,2.076923076923077,Neutral,0,0.0014293040412012292,0.0,1.0090528822837679,1.026455217520677
2025-09-09,2.0,Neutral,0,8.235633192543723e-05,0.0,1.0090528822837679,1.0265397526072777
2025-09-10,2.0,Neutral,0,-0.001838894261971813,-0.0,1.0090528822837679,1.0246520545465223
2025-09-11,2.0,Neutral,0,0.00343699313581447,0.0,1.0090528822837679,1.0281737766245969
2025-09-12,2.2857142857142856,Long,2,0.008987792433232666,0.017975584866465333,1.0271911980040112,1.0374147891141916
2025-09-15,1.8571428571428572,Neutral,0,0.0018195511543968035,0.0,1.0271911980040112,1.0393024183913127
2025-09-16,2.125,Long,2,-0.0019246533393638687,-0.0038493066787277375,1.023237224065204,1.0373021215211469
2025-09-17,2.0588235294117645,Neutral,0,-0.010348225637178965,-0.0,1.023237224065204,1.0265678851137217
2025-09-18,2.0,Neutral,0,0.007629620770278844,0.0,1.023237224065204,1.0344002087720865
2025-09-19,2.2,Long,2,0.01884786903768898,0.03769573807537796,1.0618089064525427,1.053896448439581
2025-09-22,1.9411764705882353,Neutral,0,0.010666492101799152,0.0,1.0618089064525427,1.0651378265829758
2025-09-23,2.0,Neutral,0,-0.012828651205417652,-0.0,1.0618089064525427,1.0514735449200463
2025-09-24,1.8888888888888888,Neutral,0,0.0012860868041868478,0.0,1.0618089064525427,1.0528258311711196
2025-09-25,2.111111111111111,Long,2,0.010275936601965352,0.020551873203930704,1.0836310684647597,1.0636446026651456
2025-09-26,1.875,Neutral,0,0.012078471360118748,0.0,1.0836310684647597,1.0764918035357816
2025-09-29,2.0,Neutral,0,0.005208235492420998,0.0,1.0836310684647597,1.082098426354257
2025-09-30,2.0,Neutral,0,0.006951663932628138,0.0,1.0836310684647597,1.0896208109562975
2025-10-01,1.6956521739130435,Neutral,0,-0.007188118636877849,-0.0,1.0836310684647597,1.0817884872979326
2025-10-02,2.0,Neutral,0,0.010703986816393396,0.0,1.0836310684647597,1.0933679370040958
2025-10-03,2.0,Neutral,0,0.01744484392910639,0.0,1.0836310684647597,1.1124415700222214
2025-10-06,2.0,Neutral,0,0.007116651299544197,0.0,1.0836310684647597,1.120358428767187
2025-10-07,2.125,Long,2,0.016773110077421993,0.033546220154843986,1.1199827948541072,1.1391503240190666
